name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,Dövüşçü Kimliği
Aaron Wilkinson,11,7,177.8,70.3,182.04,1.0,37.0,0.0,0.0,0.0,1.0,7.32,1.0,0.0,0.0,9
Tyler Toner,15,7,172.72,65.8,177.8,1.0,40.0,2.95,0.52,2.13,0.62,0.0,0.0,0.54,0.4,2336
Sako Chivitchian,8,1,180.34,70.3,182.04,1.0,40.0,2.4,0.27,4.8,0.46,0.0,0.0,1.0,0.0,2073
Fredson Paixao,10,5,167.64,65.8,167.64,1.0,44.0,1.71,0.54,2.31,0.62,0.62,0.11,0.1,2.2,806
Gerald Harris,23,5,180.34,83.9,195.58,2.0,44.0,1.41,0.29,1.58,0.62,2.96,0.54,0.72,0.0,838
Maiquel Falcao,37,10,180.34,83.9,182.04,1.0,43.0,1.67,0.55,0.53,0.86,1.0,1.0,0.71,3.0,1508
Brian Foster,27,10,175.26,77.1,180.34,1.0,39.0,3.3,0.39,1.63,0.65,3.67,0.6,0.37,1.8,294
Karo Parisyan,24,11,177.8,77.1,182.88,1.0,41.0,2.49,0.41,2.19,0.58,5.27,0.59,0.59,1.0,1329
Goran Reljic,15,8,190.5,93.0,205.74,2.0,40.0,1.69,0.37,2.69,0.59,1.69,0.5,0.33,1.1,863
Nick Osipczak,6,3,187.96,77.1,193.04,1.0,39.0,2.83,0.5,3.77,0.5,1.2,0.45,0.71,1.0,1776
Alexandre Ferreira,18,6,170.18,93.0,182.04,1.0,44.0,2.57,0.6,8.14,0.42,0.0,0.0,0.0,0.0,89
Mark Scanlon,9,2,175.26,77.1,182.04,1.0,37.0,2.2,0.35,3.33,0.48,3.0,0.75,0.25,2.0,1575
Seth Petruzelli,14,8,182.88,93.0,193.04,1.0,44.0,2.17,0.41,2.08,0.55,0.46,0.5,0.47,2.3,2131
Gilbert Yvel,39,16,187.96,102.1,195.58,1.0,47.0,1.05,0.47,1.78,0.5,0.0,0.0,0.25,1.0,854
James Wilks,7,4,185.42,77.1,190.5,1.0,45.0,1.82,0.45,2.03,0.5,1.27,0.22,0.66,3.8,1010
Vinicius Queiroz,8,4,200.66,99.8,182.04,1.0,40.0,3.67,0.51,4.1,0.41,5.07,0.7,1.0,0.7,2375
Mark Holst,12,6,182.88,70.3,182.04,1.0,38.0,0.25,0.19,1.67,0.47,0.76,1.0,0.6,2.3,1568
James McSweeney,15,15,193.04,104.3,195.58,3.0,43.0,3.94,0.55,4.33,0.42,0.52,0.33,1.0,1.1,1004
Matt Serra,11,7,167.64,77.1,172.72,1.0,49.0,1.98,0.39,2.64,0.46,2.05,0.2,0.38,0.9,1617
Sean Sherk,36,4,167.64,70.3,170.18,1.0,50.0,2.17,0.35,2.71,0.55,4.09,0.46,0.56,0.4,2115
Steve Lopez,13,6,180.34,70.3,182.04,1.0,39.0,1.39,0.24,2.69,0.62,0.0,0.0,0.37,0.0,2194
Julio Paulino,23,5,182.88,77.1,182.04,1.0,48.0,0.97,0.27,1.87,0.48,0.0,0.0,0.37,0.5,1283
John Gunderson,35,16,175.26,70.3,175.26,1.0,45.0,1.04,0.27,1.71,0.58,1.67,0.33,0.11,2.0,1169
Tomasz Drwal,21,5,185.42,93.0,193.04,1.0,42.0,3.29,0.38,2.26,0.57,3.55,0.6,0.82,0.4,2300
Forrest Petz,26,10,175.26,77.1,180.34,1.0,48.0,2.27,0.29,2.2,0.57,1.3,1.0,0.66,0.0,784
James Toney,0,1,175.26,99.8,182.04,1.0,55.0,0.0,0.0,2.41,0.27,0.0,0.0,0.0,0.0,1008
John Salter,14,3,185.42,83.9,187.96,2.0,39.0,1.68,0.32,1.68,0.68,2.85,0.46,0.66,0.5,1185
Rodney Wallace,26,15,175.26,93.0,182.88,3.0,42.0,1.13,0.46,3.44,0.45,6.0,0.54,0.28,1.0,1988
James Irvin,17,10,187.96,93.0,190.5,1.0,45.0,2.03,0.48,3.86,0.35,0.0,0.0,0.36,0.5,1001
Steve Steinbeiss,9,4,190.5,83.9,190.5,1.0,42.0,3.92,0.55,1.86,0.49,0.44,0.5,0.58,0.0,2197
Keith Jardine,17,11,187.96,83.9,193.04,1.0,48.0,3.25,0.36,2.98,0.59,1.18,0.45,0.62,0.7,1347
Jamie Yager,8,4,185.42,83.9,182.04,1.0,40.0,3.08,0.39,2.55,0.63,0.0,0.0,0.66,0.0,1018
Josh Bryant,15,4,177.8,83.9,182.04,1.0,43.0,1.1,0.2,6.1,0.43,0.0,0.0,0.0,0.0,1241
James Hammortree,6,3,190.5,83.9,182.04,1.0,40.0,1.93,0.3,4.13,0.44,2.0,0.5,1.0,1.0,999
Chuck Liddell,21,8,187.96,93.0,193.04,1.0,54.0,2.97,0.35,2.71,0.56,0.44,0.75,0.81,0.0,447
David Loiseau,23,11,182.88,83.9,193.04,1.0,44.0,1.59,0.44,3.64,0.43,0.43,0.42,0.36,0.1,603
Jesse Lennox,14,4,175.26,77.1,182.88,1.0,42.0,2.69,0.32,3.2,0.64,1.22,0.66,0.63,0.3,1091
Dan Lauzon,17,6,177.8,70.3,182.04,1.0,35.0,1.34,0.25,4.09,0.61,1.63,0.33,0.8,2.7,532
Joe Brammer,7,3,172.72,70.3,182.04,1.0,40.0,2.15,0.31,2.8,0.56,0.81,0.5,0.5,0.0,1132
Jesse Forbes,15,5,187.96,83.9,190.5,2.0,39.0,2.11,0.24,4.06,0.53,1.79,0.75,0.66,1.2,1090
Paul Daley,39,15,175.26,77.1,193.04,1.0,41.0,3.14,0.47,2.37,0.6,0.91,0.4,0.64,0.0,1843
Kevin Ferguson,5,2,187.96,106.6,195.58,1.0,50.0,2.3,0.5,3.41,0.38,3.1,0.72,0.36,1.2,1369
Jonathan Goulet,23,12,182.88,77.1,185.42,1.0,44.0,1.61,0.41,2.01,0.46,4.17,0.7,0.45,0.6,1204
Yoshiyuki Yoshida,18,9,180.34,77.1,177.8,2.0,49.0,0.85,0.36,3.67,0.36,1.41,0.28,0.25,2.8,2441
Renzo Gracie,13,7,177.8,83.9,182.04,1.0,57.0,1.71,0.41,1.67,0.55,1.13,0.2,0.4,0.8,1937
Brad Blackburn,18,13,177.8,77.1,185.42,1.0,46.0,4.55,0.35,3.59,0.65,0.93,0.5,0.76,0.7,262
Matt Veach,17,5,180.34,70.3,182.04,1.0,42.0,1.12,0.28,4.91,0.44,3.64,0.38,1.0,1.5,1619
Mostapha Al-Turk,6,6,187.96,111.1,195.58,1.0,50.0,1.36,0.19,3.61,0.53,0.0,0.0,0.0,0.0,1727
Nate Quarry,12,4,182.88,83.9,182.88,0.0,52.0,4.96,0.44,2.8,0.66,0.25,0.33,0.6,0.0,1756
Ronys Torres,35,5,170.18,70.3,182.04,1.0,48.0,0.87,0.26,1.93,0.57,4.0,0.47,0.16,0.5,2027
Rob Emerson,18,12,175.26,70.3,177.8,1.0,42.0,2.5,0.3,2.83,0.64,2.02,0.52,0.65,0.4,1971
Caol Uno,33,19,170.18,70.3,177.8,2.0,48.0,1.91,0.49,1.9,0.5,1.95,0.31,0.37,0.5,341
Lucio Linhares,19,8,187.96,83.9,182.04,1.0,50.0,0.99,0.22,3.47,0.34,1.86,0.5,0.5,1.9,1475
Rory Markham,17,6,182.88,77.1,180.34,1.0,42.0,1.98,0.21,10.27,0.45,0.0,0.0,0.0,0.0,2031
Paul Buentello,35,17,187.96,111.1,195.58,1.0,50.0,3.29,0.45,3.83,0.52,0.19,0.33,0.39,0.4,1840
Shannon Gugerty,15,7,177.8,70.3,180.34,1.0,42.0,1.25,0.39,1.88,0.58,2.13,0.27,0.5,3.4,2149
Chase Gormley,14,6,190.5,120.2,182.04,1.0,37.0,3.6,0.42,6.03,0.44,3.12,0.42,0.0,1.0,394
Mark Coleman,16,10,185.42,93.0,190.5,1.0,59.0,1.88,0.52,2.62,0.4,3.89,0.4,0.5,0.8,1563
Frank Trigg,21,9,175.26,77.1,180.34,2.0,51.0,2.79,0.46,1.9,0.56,2.35,0.47,0.75,0.8,801
Justin Buchholz,15,10,182.88,70.3,185.42,1.0,40.0,2.35,0.26,4.14,0.51,0.0,0.0,0.33,0.8,1292
Rolles Gracie,8,4,193.04,109.8,182.04,1.0,45.0,2.3,0.32,3.38,0.55,2.3,0.1,0.0,0.0,2010
Jay Silva,10,11,187.96,83.9,182.04,2.0,37.0,1.13,0.34,3.07,0.4,0.0,0.0,0.38,1.0,1060
Kyle Bradley,19,12,175.26,70.3,180.34,1.0,41.0,1.99,0.4,3.45,0.58,0.65,0.5,0.4,0.0,1408
Wilson Gouveia,14,8,185.42,83.9,193.04,1.0,45.0,3.02,0.39,4.06,0.56,0.9,0.66,0.57,2.2,2415
Shane Nelson,16,7,175.26,70.3,177.8,2.0,39.0,1.38,0.31,2.84,0.61,1.31,0.18,0.54,1.6,2143
Kevin Burns,12,7,177.8,77.1,187.96,1.0,44.0,2.74,0.38,4.3,0.52,0.28,0.5,0.47,0.8,1366
Houston Alexander,17,15,182.88,93.0,182.88,1.0,52.0,3.06,0.54,3.2,0.52,1.19,0.57,0.33,0.0,910
Marcus Jones,4,2,198.12,120.2,182.04,1.0,50.0,1.94,0.52,2.71,0.58,8.71,0.75,0.0,2.9,1551
Darrill Schoonover,14,8,187.96,99.8,182.04,1.0,38.0,1.2,0.33,4.35,0.38,0.0,0.0,0.5,1.1,581
Justin Wren,13,2,187.96,120.2,182.04,1.0,36.0,3.43,0.35,2.07,0.64,0.0,0.0,1.0,0.0,1309
Jake Rosholt,12,5,185.42,83.9,182.04,1.0,42.0,2.68,0.53,2.33,0.49,6.51,0.68,0.0,1.8,991
Brock Larson,42,10,180.34,77.1,180.34,2.0,46.0,1.39,0.46,1.5,0.55,2.67,0.34,0.43,2.0,306
Jason Dent,22,13,177.8,70.3,180.34,1.0,43.0,2.01,0.39,3.7,0.62,0.0,0.0,0.26,1.4,1037
Denis Kang,35,16,180.34,83.9,195.58,1.0,46.0,2.27,0.35,1.65,0.67,2.51,0.65,0.38,1.2,618
Rolando Delgado,11,6,190.5,70.3,195.58,1.0,42.0,1.56,0.4,1.83,0.62,1.17,0.22,0.0,3.5,2007
Antoni Hardonk,8,6,193.04,111.1,198.12,1.0,48.0,3.4,0.61,3.07,0.46,0.0,0.0,0.4,0.9,165
Razak Al-Hassan,13,5,187.96,93.0,182.04,1.0,41.0,3.27,0.39,3.14,0.6,0.65,0.14,0.57,0.0,1928
Hermes Franca,24,17,167.64,70.3,180.34,1.0,49.0,1.78,0.39,2.85,0.55,1.53,0.36,0.37,2.4,905
Drew McFedries,12,7,182.88,83.9,182.88,2.0,45.0,5.13,0.51,4.56,0.52,1.42,1.0,0.56,0.7,677
Roger Huerta,23,9,175.26,70.3,177.8,1.0,40.0,3.64,0.36,2.33,0.56,2.13,0.46,0.52,0.5,1999
Chris Wilson,18,10,185.42,77.1,190.5,1.0,46.0,2.32,0.5,1.36,0.55,1.31,0.5,0.6,1.6,436
Justin McCully,11,5,185.42,102.1,185.42,1.0,48.0,1.58,0.37,2.02,0.46,1.28,0.44,0.43,0.0,1304
Marcus Aurelio,22,10,177.8,70.3,187.96,1.0,50.0,1.42,0.33,2.27,0.59,1.69,0.27,0.27,1.3,1547
Dan Cramer,11,4,187.96,77.1,182.04,1.0,38.0,0.97,0.3,2.1,0.31,0.0,0.0,0.66,0.5,526
Danillo Villefort,15,5,185.42,83.9,182.04,1.0,40.0,2.86,0.37,2.4,0.68,1.71,0.66,0.33,1.7,554
Jake O'Brien,15,4,190.5,93.0,193.04,1.0,39.0,1.31,0.31,1.92,0.69,6.39,0.54,0.25,0.2,990
Mike Ciesnolevicz,19,4,182.88,106.6,182.04,1.0,44.0,0.51,0.5,4.62,0.57,0.0,0.0,0.2,5.1,1675
Frank Lester,11,6,180.34,77.1,182.04,1.0,39.0,2.18,0.36,3.82,0.53,0.0,0.0,0.0,0.0,798
Cameron Dollar,11,5,180.34,70.3,182.04,1.0,36.0,5.04,0.38,2.94,0.61,0.0,0.0,0.0,0.0,337
Dale Hartt,6,3,177.8,70.3,175.26,1.0,44.0,1.14,0.35,1.55,0.66,1.22,1.0,0.25,2.5,514
Denis Stojnic,13,3,182.88,111.1,182.04,1.0,44.0,1.51,0.23,6.06,0.36,0.0,0.0,0.8,1.0,619
Xavier Foupa-Pokam,32,22,185.42,83.9,182.04,0.0,41.0,1.47,0.43,2.5,0.49,0.0,0.0,0.16,0.0,2419
Andre Gusmao,6,3,182.88,93.0,182.04,1.0,46.0,2.79,0.43,3.28,0.6,0.0,0.0,0.6,0.0,121
Brandon Wolff,7,5,175.26,77.1,182.04,1.0,48.0,0.47,0.33,10.91,0.19,0.0,0.0,0.0,0.0,281
David Kaplan,3,4,170.18,70.3,182.04,1.0,44.0,2.88,0.46,4.32,0.67,4.88,0.43,0.0,0.7,600
David Bielkheden,24,12,177.8,70.3,180.34,1.0,44.0,1.11,0.57,1.64,0.54,2.65,0.63,0.14,0.0,594
Ryo Chonan,22,13,175.26,77.1,177.8,1.0,47.0,2.57,0.43,2.25,0.6,0.61,0.41,0.39,0.3,2064
Carmelo Marrero,16,6,182.88,93.0,185.42,1.0,43.0,0.84,0.34,2.04,0.54,3.21,0.36,0.36,0.9,362
Junie Browning,5,6,175.26,70.3,182.04,1.0,39.0,3.76,0.48,1.76,0.66,3.53,0.66,0.0,3.5,1286
Matt Horwich,30,25,185.42,83.9,182.04,1.0,45.0,1.11,0.62,2.16,0.38,0.33,0.09,0.28,2.7,1610
Jesse Sanders,23,7,182.88,77.1,182.04,1.0,37.0,0.0,0.0,6.45,0.35,0.0,0.0,0.5,0.0,1093
Nissen Osterneck,12,4,187.96,83.9,182.04,1.0,42.0,3.15,0.58,2.9,0.41,0.63,0.12,0.42,1.3,1793
Joe Vedepo,18,9,182.88,83.9,182.04,1.0,37.0,1.43,0.42,5.71,0.38,1.07,0.2,0.0,0.0,1151
Tim McKenzie,14,9,182.88,83.9,187.96,1.0,41.0,1.37,0.54,2.96,0.44,0.0,0.0,0.28,2.1,2275
Pete Sell,10,7,180.34,77.1,190.5,1.0,41.0,2.6,0.42,3.65,0.51,0.91,0.21,0.47,0.9,1865
Ryan Madigan,5,3,182.88,77.1,182.04,1.0,37.0,0.0,0.0,3.35,0.47,0.0,0.0,0.0,0.0,2058
Jason Day,19,12,182.88,83.9,182.88,1.0,42.0,3.61,0.54,3.46,0.47,1.13,1.0,0.0,0.0,1035
Michael Patt,12,4,182.88,93.0,182.04,1.0,37.0,1.65,0.28,5.53,0.55,0.0,0.0,0.0,0.0,1655
Brian Cobb,20,9,180.34,70.3,182.04,1.0,37.0,0.0,0.0,3.68,0.55,5.81,0.5,0.0,0.0,292
Per Eklund,14,5,177.8,70.3,182.88,1.0,37.0,2.07,0.61,2.38,0.67,2.07,0.11,0.5,3.6,1863
Neil Grove,12,8,198.12,120.2,182.04,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3,1762
Troy Mandaloniz,3,2,175.26,77.1,182.04,1.0,44.0,3.52,0.56,4.71,0.63,3.1,0.66,0.57,0.0,2331
Luigi Fioravanti,26,15,172.72,77.1,177.8,1.0,43.0,2.23,0.42,2.21,0.69,3.76,0.63,0.67,0.9,1477
Rich Clementi,45,23,175.26,70.3,182.88,2.0,47.0,1.43,0.37,2.29,0.6,1.72,0.42,0.25,1.1,1951
Derek Downey,11,4,185.42,83.9,182.04,1.0,43.0,0.32,1.0,3.36,0.12,2.4,0.16,0.0,0.0,629
Steve Bruno,15,6,177.8,77.1,182.04,1.0,42.0,0.96,0.52,3.38,0.36,1.94,0.25,0.46,0.4,2186
Akihiro Gono,35,21,170.18,77.1,172.72,3.0,49.0,2.18,0.48,2.67,0.63,1.01,0.84,0.46,0.5,32
Christian Wellisch,8,5,187.96,106.1,195.58,1.0,48.0,3.12,0.27,3.04,0.56,1.22,0.42,0.45,1.2,443
Matt Arroyo,3,3,177.8,77.1,182.88,1.0,41.0,1.62,0.47,2.01,0.58,2.12,0.36,1.0,5.3,1602
Jeremy Horn,91,22,185.42,83.9,187.96,1.0,48.0,1.19,0.39,1.99,0.55,1.83,0.38,0.29,1.1,1076
Tom Egan,7,5,180.34,77.1,182.04,1.0,37.0,0.0,0.0,3.91,0.5,0.0,0.0,0.28,0.0,2293
Alexandre Barros,22,11,175.26,77.1,182.04,2.0,47.0,0.98,0.4,4.05,0.36,1.84,0.5,1.0,0.0,87
Antonio Mendes,18,13,190.5,93.0,195.58,2.0,42.0,1.34,0.47,6.85,0.22,2.51,0.5,1.0,0.0,174
Ivan Serati,12,4,182.88,93.0,182.04,1.0,37.0,0.86,0.26,5.33,0.29,0.0,0.0,0.0,0.0,960
Nate Mohr,9,7,175.26,70.3,182.88,1.0,41.0,3.79,0.41,2.5,0.74,0.45,0.5,0.71,0.0,1755
Dean Lister,13,7,185.42,83.9,190.5,1.0,48.0,1.26,0.35,1.89,0.61,1.58,0.15,0.5,1.1,613
Mike Wessel,15,8,182.88,117.9,182.04,1.0,46.0,1.82,0.56,6.43,0.22,6.29,0.5,0.0,0.0,1698
Reese Andy,7,3,182.88,93.0,182.04,1.0,50.0,2.87,0.5,3.5,0.58,0.67,0.2,0.4,0.0,1929
Dan Evensen,11,4,190.5,113.4,182.04,1.0,49.0,0.27,0.1,3.86,0.38,0.0,0.0,0.0,4.0,527
Shane Primm,5,5,190.5,93.0,182.04,1.0,39.0,0.83,0.26,2.25,0.62,1.78,0.2,0.0,0.0,2144
Jules Bruchez,1,2,182.88,93.0,182.04,2.0,46.0,0.69,0.5,5.52,0.46,0.0,0.0,0.0,0.0,1272
John Polakowski,2,2,177.8,70.3,182.04,1.0,42.0,2.6,0.26,2.83,0.5,0.0,0.0,0.87,0.7,1184
Nate Loughran,11,2,187.96,83.9,182.04,1.0,43.0,1.81,0.4,4.11,0.59,0.0,0.0,0.0,2.1,1752
Brodie Farber,16,7,185.42,77.1,182.04,1.0,43.0,1.69,0.45,2.17,0.53,0.9,0.5,0.2,0.9,308
Johnny Rees,13,5,182.88,77.1,182.04,1.0,41.0,3.29,0.64,0.84,0.47,1.15,0.25,0.5,0.0,1191
Corey Hill,6,9,193.04,70.3,203.2,1.0,45.0,3.57,0.46,1.61,0.7,3.02,0.8,1.0,0.0,484
Eddie Sanchez,15,8,187.96,104.3,187.96,1.0,41.0,3.45,0.43,3.3,0.43,1.13,0.26,0.42,0.0,699
Josh Hendricks,19,11,187.96,106.6,182.04,2.0,47.0,0.98,0.2,11.8,0.29,0.0,0.0,0.0,0.0,1250
Jorge Gurgel,14,10,170.18,70.3,175.26,1.0,47.0,3.37,0.32,3.62,0.62,0.81,0.23,0.6,0.5,1221
Alvin Robinson,15,9,175.26,70.3,172.72,2.0,41.0,1.57,0.5,1.29,0.51,1.24,0.5,0.25,1.2,106
Ryan Thomas,20,8,182.88,77.1,182.04,1.0,39.0,2.01,0.36,4.17,0.3,5.59,0.33,0.0,2.2,2063
Rameau Thierry Sokoudjou,18,18,177.8,93.0,198.12,1.0,39.0,2.26,0.45,2.61,0.56,1.93,0.47,0.78,0.9,1903
Neil Wain,13,4,177.8,109.8,182.04,1.0,37.0,2.64,0.5,8.57,0.43,0.0,0.0,0.5,0.0,1765
Jess Liaudin,20,11,175.26,77.1,182.88,1.0,37.0,2.46,0.51,2.76,0.41,3.28,0.53,0.3,1.6,1086
David Baron,17,4,167.64,70.3,182.04,3.0,51.0,1.17,0.3,2.1,0.56,0.0,0.0,0.14,0.7,593
Samy Schiavo,10,6,172.72,70.3,182.04,1.0,48.0,1.68,0.34,2.62,0.38,0.94,0.5,0.66,0.9,2084
Brad Morris,10,6,187.96,93.0,182.04,1.0,44.0,0.5,0.62,6.95,0.27,0.0,0.0,0.0,0.0,267
Jason Lambert,26,13,190.5,83.9,190.5,1.0,48.0,3.21,0.58,1.84,0.5,1.35,0.36,0.28,2.4,1044
Heath Herring,28,16,193.04,113.4,198.12,1.0,46.0,2.37,0.5,1.77,0.54,1.22,0.5,0.32,0.7,893
Luke Cummo,6,6,182.88,77.1,187.96,1.0,43.0,1.74,0.43,1.5,0.59,0.89,0.55,0.42,1.4,1490
Cale Yarbrough,8,3,185.42,83.9,182.04,1.0,37.0,3.16,0.27,10.0,0.72,0.0,0.0,0.0,0.0,334
James Giboo,13,5,180.34,77.1,182.04,1.0,46.0,1.2,0.27,7.08,0.39,0.0,0.0,0.0,0.0,998
Evan Tanner,32,8,182.88,83.9,187.96,1.0,53.0,3.05,0.59,2.64,0.56,2.55,0.43,0.25,1.3,757
Dante Rivera,16,7,185.42,83.9,182.04,2.0,49.0,2.27,0.53,4.0,0.25,0.0,0.0,0.16,0.0,567
Marvin Eastman,18,15,175.26,83.9,185.42,1.0,52.0,2.21,0.35,3.92,0.42,1.38,0.33,0.81,0.0,1589
Rob Yundt,9,5,185.42,83.9,182.04,1.0,43.0,1.37,0.41,2.55,0.31,2.94,1.0,0.0,0.0,1976
Ivan Salaverry,14,9,182.88,83.9,182.04,1.0,53.0,3.01,0.47,1.19,0.76,0.49,0.18,0.36,2.5,959
Kazuhiro Nakamura,21,13,180.34,93.0,177.8,1.0,44.0,1.56,0.37,1.83,0.59,1.73,0.36,0.42,0.6,1338
War Machine,14,5,180.34,77.1,182.04,1.0,42.0,2.32,0.6,3.17,0.43,1.16,0.5,0.4,0.0,2397
Jason Tan,5,3,177.8,77.1,182.04,1.0,42.0,0.69,0.29,7.37,0.18,0.0,0.0,0.0,0.0,1050
Travis Lutter,10,6,180.34,83.9,190.5,1.0,50.0,0.41,0.32,2.42,0.42,1.95,0.24,0.3,0.7,2319
Kalib Starnes,17,11,190.5,83.9,187.96,1.0,49.0,2.71,0.48,4.43,0.53,1.46,0.33,0.25,0.6,1318
Charles McCarthy,10,5,177.8,83.9,180.34,1.0,43.0,0.18,0.12,4.03,0.56,2.67,0.6,0.0,2.7,384
Kuniyoshi Hironaka,23,9,177.8,76.2,177.8,1.0,47.0,1.98,0.4,3.01,0.54,1.91,0.3,0.25,0.6,1403
Din Thomas,26,9,175.26,70.3,182.04,1.0,47.0,1.85,0.37,2.6,0.59,1.38,0.52,0.76,1.2,649
Ryan Roberts,21,12,167.64,70.3,182.04,1.0,45.0,0.0,0.0,22.5,0.45,0.0,0.0,0.0,0.0,2061
Jeff Cox,10,7,177.8,70.3,182.04,1.0,55.0,0.56,0.25,1.69,0.33,4.23,0.5,0.8,0.0,1062
Roman Mitichyan,8,3,177.8,77.1,182.04,1.0,45.0,0.26,0.16,2.7,0.43,1.93,1.0,0.25,1.9,2014
Tommy Speer,21,7,177.8,77.1,180.34,1.0,39.0,2.56,0.51,5.12,0.35,2.02,0.33,0.33,0.0,2302
John Halverson,16,8,175.26,70.3,182.04,2.0,51.0,2.94,0.43,5.29,0.47,0.0,0.0,0.66,2.0,1171
Tim Sylvia,31,10,203.2,120.2,203.2,1.0,48.0,4.23,0.41,2.61,0.61,0.11,1.0,0.75,0.1,2277
David Heath,18,7,180.34,93.0,182.88,1.0,48.0,1.48,0.3,5.16,0.49,0.33,0.5,0.57,1.0,598
Terry Martin,23,11,172.72,83.9,180.34,1.0,43.0,2.82,0.43,3.13,0.54,3.1,0.42,0.92,0.0,2250
Alberto Crane,15,5,165.1,70.3,182.04,1.0,47.0,0.43,0.25,2.61,0.57,0.0,0.0,0.5,4.0,46
Joe Veres,4,3,170.18,70.3,182.04,1.0,46.0,0.0,0.0,5.55,0.27,0.0,0.0,0.0,0.0,1152
Colin Robinson,10,12,193.04,110.2,182.04,1.0,55.0,6.19,0.69,7.91,0.37,2.58,1.0,0.5,5.2,477
James Lee,15,3,180.34,93.0,182.04,2.0,50.0,1.4,0.42,3.72,0.27,13.95,0.5,0.0,7.0,1003
Jordan Radev,23,5,170.18,83.9,182.04,2.0,47.0,1.35,0.23,2.38,0.66,0.0,0.0,0.8,0.0,1217
Tony DeSouza,11,4,182.88,77.1,177.8,2.0,49.0,1.12,0.52,1.57,0.41,2.25,0.42,0.4,1.5,2303
Doug Evans,13,10,175.26,70.3,182.04,1.0,43.0,1.79,0.35,2.55,0.55,3.19,0.83,0.69,0.6,671
Jared Rollins,8,4,175.26,77.1,182.04,1.0,47.0,3.33,0.57,2.41,0.39,2.5,0.5,0.5,1.2,1026
Billy Miles,2,2,177.8,77.1,182.04,1.0,45.0,0.0,0.0,1.25,0.33,0.0,0.0,0.0,0.0,243
Dan Barrera,3,1,175.26,77.1,182.04,1.0,43.0,0.8,0.7,1.2,0.28,1.0,0.08,0.0,0.0,523
Richie Hightower,8,4,172.72,77.1,182.04,1.0,49.0,4.62,0.35,6.92,0.21,3.46,1.0,1.0,0.0,1956
John Kolosci,15,9,180.34,83.9,182.04,1.0,49.0,0.21,0.2,0.85,0.5,0.0,0.0,0.0,0.0,1174
Dorian Price,8,5,190.5,77.1,182.04,2.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670
Paul Georgieff,6,2,187.96,77.1,182.04,1.0,41.0,2.55,0.4,2.34,0.35,0.0,0.0,0.0,0.0,1845
Luke Caudillo,17,17,170.18,70.3,182.04,1.0,43.0,1.97,0.28,5.07,0.55,0.44,0.2,0.85,0.0,1489
Jason Black,23,4,172.72,70.3,182.04,1.0,51.0,1.06,0.47,2.6,0.45,0.48,0.33,0.28,6.2,1033
Diego Saraiva,22,20,167.64,70.3,182.04,1.0,41.0,1.64,0.32,3.58,0.62,1.33,0.4,0.0,0.7,646
Scott Junk,8,3,185.42,120.2,182.04,1.0,45.0,5.13,0.6,1.81,0.45,0.0,0.0,0.0,0.0,2103
Edilberto de Oliveira,29,15,182.88,77.1,182.04,1.0,41.0,4.12,0.32,6.79,0.61,0.0,0.0,0.0,0.0,704
Anthony Torres,5,3,172.72,77.1,182.04,1.0,45.0,3.54,0.48,7.52,0.45,0.0,0.0,1.0,2.2,161
Renato Sobral,37,11,185.42,93.0,190.5,1.0,48.0,2.23,0.45,1.53,0.57,2.48,0.42,0.65,2.6,1934
Mike Nickels,9,5,193.04,93.0,182.04,1.0,52.0,4.44,0.52,1.11,0.64,11.11,0.8,0.0,2.8,1686
Jason Gilliam,14,9,182.88,77.1,182.04,1.0,37.0,0.79,0.33,3.14,0.42,0.0,0.0,0.0,0.0,1039
Jens Pulver,27,19,170.18,65.8,177.8,2.0,49.0,2.12,0.37,3.13,0.56,0.22,0.33,0.63,0.3,1073
Floyd Sword,12,3,182.88,83.9,182.04,1.0,47.0,0.78,0.42,1.57,0.4,0.0,0.0,0.33,0.0,782
Brandon Melendez,25,25,180.34,70.3,182.04,2.0,41.0,0.84,0.26,0.56,0.63,0.0,0.0,0.25,0.0,276
Andy Wang,7,8,167.64,70.3,182.04,1.0,46.0,3.43,0.36,10.29,0.62,0.0,0.0,0.0,0.0,140
Allen Berube,4,3,172.72,70.3,182.04,1.0,49.0,0.92,0.8,0.92,0.33,6.87,1.0,0.0,3.4,101
Brian Geraghty,26,18,170.18,70.3,182.04,1.0,43.0,0.47,0.25,9.77,0.36,0.0,0.0,0.5,0.0,296
Hector Ramirez,10,6,182.88,93.0,182.04,1.0,48.0,2.27,0.41,4.6,0.56,2.3,0.55,0.66,0.5,897
Rory Singer,11,9,187.96,83.9,195.58,1.0,47.0,2.55,0.39,2.42,0.63,0.39,0.25,0.64,0.8,2032
Scott Smith,18,11,182.88,83.9,177.8,1.0,44.0,1.9,0.27,5.87,0.5,0.12,0.06,0.58,0.5,2105
Stevie Lynch,5,2,177.8,77.1,182.04,1.0,37.0,2.47,0.25,7.06,0.41,0.0,0.0,0.0,0.0,2204
Pete Spratt,25,23,175.26,77.1,182.04,1.0,53.0,1.63,0.48,1.33,0.55,0.3,1.0,0.46,0.3,1866
