name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,Dövüşçü Kimliği
Erik Silva,9,3,175.26,65.8,180.34,1.0,37.0,2.07,0.7,1.57,0.4,3.76,0.8,0.62,0.0,746
Muhammad Naimov,11,2,175.26,65.8,177.8,1.0,29.0,3.33,0.46,4.57,0.41,1.94,0.33,0.57,0.0,1733
Alexander Volkanovski,26,4,167.64,65.8,180.34,1.0,35.0,6.16,0.56,3.44,0.58,1.78,0.37,0.7,0.2,83
Ilia Topuria,15,0,170.18,65.8,175.26,1.0,27.0,4.4,0.46,3.35,0.65,1.92,0.56,0.92,1.3,939
Robert Whittaker,26,7,182.88,83.9,185.42,1.0,33.0,4.57,0.42,3.45,0.59,0.81,0.38,0.82,0.0,1985
Paulo Costa,14,3,185.42,83.9,182.88,1.0,32.0,6.2,0.58,6.38,0.47,0.45,0.75,0.8,0.0,1854
Geoff Neal,15,6,180.34,77.1,190.5,2.0,33.0,4.97,0.5,5.47,0.57,0.46,0.44,0.87,0.1,833
Ian Machado Garry,14,0,190.5,77.1,187.96,1.0,26.0,6.27,0.55,3.49,0.53,0.55,0.75,0.69,0.0,925
Merab Dvalishvili,17,4,167.64,61.2,172.72,1.0,33.0,4.5,0.41,2.37,0.57,6.43,0.36,0.8,0.3,1644
Henry Cejudo,16,4,162.56,61.2,162.56,1.0,37.0,3.77,0.46,3.29,0.6,1.99,0.32,0.75,0.2,902
Anthony Hernandez,12,2,182.88,83.9,190.5,1.0,30.0,4.3,0.59,3.46,0.45,6.62,0.49,0.63,3.0,151
Roman Kopylov,12,3,182.88,83.9,190.5,2.0,32.0,4.66,0.54,4.1,0.6,0.42,0.5,0.87,0.0,2013
Amanda Lemos,14,3,162.56,52.2,165.1,2.0,36.0,3.43,0.54,4.21,0.44,0.98,0.63,0.57,0.7,108
Mackenzie Dern,13,5,162.56,52.2,160.02,1.0,31.0,3.31,0.4,4.09,0.51,0.79,0.15,0.28,1.3,1500
Marcos Rogerio de Lima,22,10,185.42,114.8,190.5,1.0,38.0,3.7,0.57,2.9,0.51,1.4,0.45,0.59,0.5,1545
Junior Tafa,5,2,190.5,108.9,190.5,1.0,27.0,1.81,0.4,1.86,0.5,0.0,0.0,0.81,0.0,1290
Rinya Nakamura,9,0,170.18,61.2,172.72,2.0,29.0,3.53,0.54,1.38,0.67,3.72,0.9,1.0,1.6,1968
Carlos Vera,11,4,167.64,61.2,175.26,1.0,36.0,0.8,0.48,2.53,0.45,0.0,0.0,0.0,0.0,358
Zhang Mingyang,17,6,187.96,93.0,190.5,1.0,25.0,9.23,0.57,6.39,0.57,0.0,0.0,0.0,0.0,2467
Brendson Ribeiro,15,6,190.5,93.0,205.74,1.0,27.0,8.41,0.46,6.77,0.56,0.0,0.0,0.0,0.0,288
Josh Quinlan,6,2,182.88,77.1,182.88,1.0,31.0,3.59,0.42,6.91,0.49,0.51,0.11,0.6,0.0,1254
Danny Barlow,8,0,187.96,77.1,200.66,2.0,28.0,8.8,0.52,3.65,0.57,0.0,0.0,1.0,0.0,558
Oban Elliott,10,2,182.88,77.1,182.88,1.0,26.0,4.27,0.53,2.17,0.61,3.5,0.5,0.0,0.0,1805
Val Woodburn,7,2,172.72,77.1,187.96,1.0,30.0,1.6,0.35,4.93,0.36,1.92,1.0,0.5,0.0,2348
Andrea Lee,13,9,167.64,56.7,175.26,1.0,35.0,4.69,0.46,3.76,0.62,1.85,0.58,0.55,0.6,129
Miranda Maverick,15,5,160.02,56.7,165.1,2.0,26.0,3.8,0.47,2.6,0.59,2.49,0.46,0.4,0.4,1709
Jack Hermansson,24,8,185.42,83.9,195.58,1.0,35.0,5.09,0.44,3.69,0.56,1.53,0.3,0.8,0.4,968
Joe Pyfer,12,3,187.96,83.9,190.5,1.0,27.0,3.66,0.4,3.58,0.51,1.49,0.41,0.5,0.9,1144
Dan Ige,18,7,170.18,65.8,180.34,1.0,32.0,3.76,0.45,3.52,0.57,1.06,0.26,0.58,0.3,531
Andre Fili,23,11,180.34,65.8,187.96,1.0,33.0,3.85,0.37,4.11,0.51,2.16,0.47,0.69,0.3,120
Robert Bryczek,17,6,182.88,83.9,190.5,1.0,33.0,2.13,0.24,4.47,0.6,0.0,0.0,1.0,0.0,1979
Ihor Potieria,20,5,190.5,83.9,190.5,2.0,27.0,5.19,0.5,5.01,0.51,0.0,0.0,0.57,0.0,934
Brad Tavares,20,10,185.42,83.9,187.96,1.0,36.0,3.38,0.43,3.15,0.55,0.78,0.26,0.81,0.0,271
Gregory Rodrigues,15,5,190.5,83.9,190.5,1.0,32.0,6.08,0.55,5.3,0.51,2.46,0.45,1.0,0.5,870
Michael Johnson,23,19,177.8,70.3,185.42,2.0,37.0,4.27,0.39,3.83,0.57,0.62,0.41,0.81,0.0,1649
Darrius Flowers,12,7,175.26,70.3,180.34,1.0,29.0,2.94,0.54,5.16,0.43,0.63,0.2,0.6,0.0,582
Rodolfo Vieira,10,2,182.88,83.9,185.42,1.0,34.0,3.19,0.54,4.6,0.49,4.18,0.3,1.0,1.6,1991
Armen Petrosyan,9,3,190.5,83.9,180.34,1.0,33.0,5.69,0.52,2.9,0.56,0.22,0.33,0.31,0.0,184
Trevin Giles,16,6,182.88,77.1,187.96,1.0,31.0,3.27,0.55,2.22,0.58,1.19,0.5,0.71,0.3,2323
Carlos Prates,18,6,185.42,77.1,198.12,3.0,30.0,4.38,0.56,5.95,0.37,0.0,0.0,0.66,0.0,356
Bolaji Oki,9,1,177.8,70.3,185.42,1.0,28.0,5.18,0.43,2.53,0.64,0.84,1.0,0.83,0.0,260
